YearsExperience,MonthlySalary_EGP
0.5,9088
0.6,7256
0.8,10761
0.9,11385
1.1,7398
1.2,8757
1.3,11365
1.5,11294
1.6,12093
1.7,11075
1.9,14487
2.0,14644
2.2,14146
2.3,16164
2.4,15428
2.6,13945
2.7,16230
2.8,14426
3.0,18006
3.1,16840
3.3,17264
3.4,16791
3.5,20156
3.7,18593
3.8,18475
3.9,18917
4.1,20972
4.2,21025
4.4,21740
4.5,22089
4.6,25147
4.8,21710
4.9,21860
5.0,21698
5.2,24626
5.3,25766
5.5,24418
5.6,23576
5.7,23921
5.9,26921
6.0,27389
6.1,27389
6.3,26095
6.4,27851
6.6,28307
6.7,28790
6.8,30154
7.0,29758
7.1,30806
7.2,30148
7.4,31143
7.5,32010
7.7,29309
7.8,31449
7.9,31527
8.1,31898
8.2,32800
8.3,35952
8.5,32815
8.6,36069
8.8,32467
8.9,34944
9.0,36060
9.2,37378
9.3,37898
9.4,38349
9.6,37162
9.7,37300
9.9,40053
10.0,38694
