StudyHours,AttendancePercent,AssignmentScore,Result
3,94,80,Pass
1.9,90,75,Pass
9.4,48,79,Pass
8.3,87,33,Pass
4.7,87,34,Pass
9.7,55,38,Pass
9.6,43,39,Pass
8.1,45,50,Pass
5.1,90,90,Pass
1.5,91,36,Fail
5.4,82,71,Pass
0.7,96,56,Fail
1.4,44,37,Fail
4.4,65,96,Fail
7.1,88,39,Pass
1.5,93,34,Fail
4.6,88,60,Pass
5.2,43,41,Fail
1.9,70,89,Fail
0.6,68,66,Fail
7.1,92,94,Pass
3.4,46,66,Fail
1.6,62,62,Fail
7.9,77,82,Pass
1.9,74,65,Fail
1.7,80,82,Fail
9,84,59,Pass
7.5,65,42,Pass
7.3,49,84,Pass
3,67,85,Fail
3.4,76,31,Fail
4.9,87,97,Pass
5.1,62,65,Fail
2.1,76,64,Fail
2.2,95,32,Fail
9.3,60,31,Fail
4.5,75,34,Fail
9.6,66,61,Pass
3.3,41,96,Fail
7.9,54,100,Pass
7.3,79,53,Pass
6.8,78,62,Pass
7.4,56,85,Pass
2,41,38,Fail
8.2,98,85,Pass
5.8,71,42,Fail
2.7,71,86,Fail
5.3,76,38,Pass
5.4,88,73,Pass
9,52,45,Fail
3.5,58,40,Fail
9.9,72,73,Pass
7.9,71,82,Pass
8.6,80,55,Pass
2,87,85,Fail
1.3,46,74,Fail
9.1,79,51,Pass
3.4,59,36,Fail
7.7,57,40,Fail
6,54,79,Pass
2.2,88,68,Fail
3.9,76,88,Pass
1.3,65,51,Fail
6.5,92,62,Pass
8.4,63,75,Pass
2.4,89,76,Fail
8.2,81,96,Pass
3,96,70,Fail
6.5,41,94,Pass
9.6,97,66,Pass
6.8,77,59,Pass
7.3,85,92,Pass
7.1,96,35,Pass
9.4,72,39,Pass
6.1,74,33,Fail
3.2,63,99,Pass
3.4,86,90,Pass
5.2,64,86,Pass
6.8,73,61,Pass
4,60,79,Fail
3.5,92,52,Fail
6.7,50,33,Fail
3.1,46,89,Fail
1.8,72,80,Fail
0.7,79,73,Fail
4.8,89,50,Pass
4,46,63,Fail
7.9,46,81,Pass
8.6,50,47,Pass
9.4,95,81,Pass
3.3,95,58,Fail
1.7,88,76,Fail
6.9,68,43,Pass
1.8,86,52,Fail
6.9,88,89,Pass
9.2,65,40,Pass
6.8,48,69,Pass
1.4,88,99,Pass
2.8,98,75,Pass
8.8,55,74,Pass
3.2,95,40,Fail
5.3,47,90,Pass
4.8,49,77,Fail
5,91,49,Fail
1.7,70,65,Fail
5.8,78,57,Pass
7.8,48,33,Fail
2.9,60,38,Fail
1.1,57,41,Fail
0.7,65,44,Fail
3.6,59,47,Fail
2.4,75,55,Fail
1.3,43,30,Fail
1.4,84,46,Fail
4.6,47,44,Fail
6,47,89,Fail
3.8,55,89,Fail
4.3,94,88,Pass
9,48,92,Fail
9.3,51,84,Pass
0.9,62,51,Fail
6,49,93,Pass
2.1,43,95,Fail
2.7,54,96,Fail
6,43,76,Pass
1.5,69,70,Fail
7.6,57,59,Fail
6.2,97,60,Pass
4.1,72,78,Pass
6.1,91,86,Pass
1.7,86,52,Fail
9.7,50,92,Pass
9.1,76,100,Pass
2.4,47,34,Fail
2.7,97,52,Fail
0.9,81,72,Pass
5.3,74,94,Pass
0.9,79,51,Fail
5.4,69,63,Pass
7.6,45,70,Pass
7.8,48,75,Pass
3.6,99,99,Pass
8.4,76,52,Pass
5.1,56,56,Pass
4.7,54,71,Fail
5.9,46,44,Fail
9,78,74,Pass
7.4,68,80,Pass
5.8,62,70,Fail
2.1,91,49,Fail
