StudyHours,AttendancePercent,Passed
0.5,88,0
0.6,46,0
0.6,61,0
0.6,62,0
0.6,88,0
0.6,89,1
0.6,91,0
0.7,64,0
0.8,58,0
0.9,66,0
1.1,51,0
1.2,59,0
1.2,71,0
1.3,68,0
1.4,67,0
1.6,64,0
1.6,89,1
1.6,96,0
1.8,60,0
2.1,89,1
2.2,53,0
2.2,58,0
2.2,84,0
2.3,58,1
2.3,60,0
2.3,69,0
2.3,83,0
2.4,74,0
2.4,98,0
2.5,45,0
2.6,66,0
2.9,96,1
3.0,46,0
3.0,46,0
3.1,95,1
3.1,98,1
3.2,73,0
3.2,83,0
3.3,60,0
3.5,65,0
3.6,55,0
3.7,47,0
3.7,52,0
3.8,61,1
3.9,93,0
4.1,56,0
4.1,86,1
4.1,100,1
4.3,61,1
4.5,68,1
4.5,83,1
4.6,65,0
4.6,87,1
4.7,81,1
4.7,89,1
5.0,55,1
5.0,89,1
5.2,47,0
5.7,78,1
5.9,47,0
5.9,91,1
6.0,49,0
6.0,91,1
6.1,47,0
6.1,65,1
6.1,76,1
6.2,50,1
6.2,82,1
6.3,79,1
6.3,97,1
6.5,46,1
6.5,54,1
6.5,93,1
6.6,57,0
6.6,64,1
6.6,93,1
6.7,72,1
6.8,66,1
6.9,70,0
6.9,82,1
7.0,47,1
7.0,49,0
7.1,95,1
7.2,55,1
7.2,58,1
7.2,95,1
7.3,60,0
7.3,61,1
7.4,97,1
7.6,46,1
7.6,79,1
7.7,63,1
7.7,68,1
7.7,74,1
7.8,49,0
7.8,73,1
7.8,95,1
7.9,80,1
8.0,46,1
8.0,76,1
8.1,62,1
8.2,86,1
8.3,68,1
8.4,59,1
8.4,78,1
8.6,83,1
8.8,74,1
8.9,68,1
9.0,82,1
9.2,60,1
9.2,88,1
9.2,99,1
9.3,59,1
9.6,76,1
9.6,86,1
9.7,68,1
9.8,97,1
9.9,71,1
9.9,96,1
10.0,63,1
