StudyHours,AttendancePercent,Result
4.8,92,Pass
4.0,71,Fail
5.4,66,Pass
8.1,51,Pass
3.2,66,Fail
8.9,62,Pass
4.8,97,Pass
8.3,85,Pass
8.5,83,Pass
3.9,83,Pass
1.8,88,Fail
1.2,57,Fail
3.7,86,Pass
1.8,95,Fail
1.4,72,Fail
8.0,76,Pass
8.4,97,Pass
9.6,79,Pass
3.9,66,Pass
1.9,51,Fail
4.5,82,Pass
4.7,77,Fail
2.9,46,Fail
2.3,51,Fail
3.7,91,Pass
6.0,69,Fail
9.4,98,Pass
2.2,97,Pass
5.5,74,Fail
5.6,95,Pass
5.4,72,Pass
5.3,51,Fail
3.4,95,Pass
8.0,54,Pass
4.8,99,Pass
4.6,73,Fail
2.0,60,Fail
8.2,92,Pass
3.2,60,Fail
9.6,66,Pass
6.2,88,Pass
3.6,93,Pass
5.7,65,Pass
3.7,50,Fail
0.6,54,Fail
3.2,69,Fail
1.8,69,Fail
7.2,71,Pass
5.4,68,Pass
6.7,51,Fail
1.6,61,Fail
1.9,56,Fail
1.9,69,Fail
8.4,59,Pass
3.0,55,Fail
2.9,63,Fail
8.5,91,Pass
1.9,52,Fail
3.1,65,Pass
3.7,82,Pass
1.1,61,Fail
6.3,46,Pass
9.1,97,Pass
4.6,73,Fail
4.2,55,Fail
4.5,94,Fail
7.7,92,Pass
6.5,88,Pass
1.9,67,Fail
7.6,55,Pass
4.1,65,Fail
9.6,49,Pass
7.0,51,Pass
4.9,65,Fail
1.0,59,Fail
2.9,63,Fail
8.5,49,Pass
2.7,98,Pass
2.1,57,Fail
6.0,66,Fail
3.3,89,Pass
8.7,70,Pass
5.7,94,Pass
3.6,64,Fail
6.4,57,Pass
7.9,46,Fail
6.0,65,Fail
6.5,67,Pass
9.0,75,Pass
7.5,82,Pass
7.0,52,Pass
8.8,56,Pass
8.1,47,Pass
4.8,99,Pass
8.3,75,Pass
8.2,80,Pass
2.9,51,Fail
6.9,71,Fail
2.7,67,Fail
2.5,99,Fail
9.9,72,Pass
8.6,60,Pass
8.4,97,Pass
9.7,93,Pass
4.7,74,Pass
0.7,91,Pass
5.1,88,Pass
2.9,53,Fail
6.9,77,Pass
2.3,99,Fail
6.7,84,Pass
4.8,96,Pass
2.6,73,Pass
3.1,73,Pass
3.7,53,Fail
4.1,53,Fail
8.4,99,Pass
0.9,52,Fail
7.8,68,Pass
2.7,54,Fail
